case_type,idx,word,target1,target2,sentence1,sentence2,label,surface_mismatch,same_surface,outcome_partition,bert_error_focus,bert_margin,glove_target_score,glove_context_2_score,bert_mean_last_four_score,glove_target_prediction,glove_context_2_prediction,bert_mean_last_four_prediction,glove_target_correct,glove_context_2_correct,bert_mean_last_four_correct
bert_only_correct,99,remover,remover,remover,Rust remover.,Paint remover.,True,False,True,bert_only_correct,correct,0.376586422989899,1.0,0.3522265344157602,0.9579303707305364,True,False,True,True,False,True
bert_only_correct,239,curd,curd,curd,Bean curd.,Lemon curd.,True,False,True,bert_only_correct,correct,0.3661224094210529,1.0,0.3402185003751002,0.9474663571616904,True,False,True,True,False,True
bert_only_correct,314,delta,delta,delta,The Nile delta.,The Mississippi River delta.,True,False,True,bert_only_correct,correct,0.3376384702728281,1.0,0.5454416925796326,0.9189824180134656,True,False,True,True,False,True
bert_only_correct,498,refrigerate,refrigerate,Refrigerate,Please refrigerate your uncooked meats at or below 40 Fahrenheit.,Refrigerate this medicine.,True,False,True,bert_only_correct,correct,0.3015302473112017,1.0,0.2618990329504889,0.8828741950518392,True,False,True,True,False,True
bert_only_correct,115,banish,Banish,Banish,Banish bad thoughts.,Banish gloom.,True,False,True,bert_only_correct,correct,0.30104281752551065,1.0,0.2238741934858585,0.8823867652661481,True,False,True,True,False,True
static_only_correct,417,ball,ball,balls,The ball at the base of the thumb.,He stood on the balls of his feet.,True,True,False,static_only_correct,high_confidence_error,0.3999355233105587,1.0,0.8290995317732949,0.1814084244300788,True,True,False,True,True,False
static_only_correct,250,indent,Indent,Indent,Indent the documents.,Indent the paragraphs of a letter.,False,False,True,static_only_correct,high_confidence_error,0.33442736238890514,1.0,0.5732265723397433,0.9157713101295426,True,False,True,False,True,False
static_only_correct,27,aliyah,aliyah,aliyah,Students making aliyah.,He was called on for an aliyah.,False,False,True,static_only_correct,high_confidence_error,0.2996769690015696,1.0,0.5615406165300572,0.8810209167422071,True,False,True,False,True,False
static_only_correct,599,map,Map,Map,Map the genes.,Map the surface of Venus.,False,False,True,static_only_correct,high_confidence_error,0.29782023675712,1.0,0.5214874612329258,0.8791641844977575,True,False,True,False,True,False
static_only_correct,355,militarize,Militarize,Militarize,Militarize the Civil Service.,Militarize Germany again after the war.,False,False,True,static_only_correct,high_confidence_error,0.2910926233506893,1.0,0.3837082419505049,0.8724365710913268,True,False,True,False,True,False
all_wrong,95,hostility,hostility,hostility,He could not conceal his hostility.,He could no longer contain his hostility.,False,False,True,all_wrong,high_confidence_error,0.3731049852077689,1.0,0.7002128052330688,0.9544489329484064,True,True,True,False,False,False
all_wrong,485,engrave,Engrave,Engrave,Engrave a letter.,Engrave a pen.,False,False,True,all_wrong,high_confidence_error,0.3437123436905717,1.0,0.694537364409575,0.9250562914312092,True,True,True,False,False,False
all_wrong,622,criticism,criticism,criticism,The senator received severe criticism from his opponent.,The politician received a lot of public criticism for his controversial stance on the issue.,False,False,True,all_wrong,high_confidence_error,0.3210198697010913,1.0,0.7332303857544037,0.9023638174417288,True,True,True,False,False,False
all_wrong,36,shtik,shtik,shtik,He's a shtik crazy.,How did you ever fall for a shtik like that?,False,False,True,all_wrong,high_confidence_error,0.29353582741024964,1.0,0.7333161031159874,0.8748797751508871,True,True,True,False,False,False
all_wrong,310,blockage,blockage,blockage,"There was a blockage in the sewer, so we called out the plumber.",We had to call a plumber to clear out the blockage in the drainpipe.,False,False,True,all_wrong,high_confidence_error,0.2867416873867946,1.0,0.8922023322929675,0.8680856351274321,True,True,True,False,False,False
bert_high_confidence_error,417,ball,ball,balls,The ball at the base of the thumb.,He stood on the balls of his feet.,True,True,False,static_only_correct,high_confidence_error,0.3999355233105587,1.0,0.8290995317732949,0.1814084244300788,True,True,False,True,True,False
bert_high_confidence_error,95,hostility,hostility,hostility,He could not conceal his hostility.,He could no longer contain his hostility.,False,False,True,all_wrong,high_confidence_error,0.3731049852077689,1.0,0.7002128052330688,0.9544489329484064,True,True,True,False,False,False
bert_high_confidence_error,485,engrave,Engrave,Engrave,Engrave a letter.,Engrave a pen.,False,False,True,all_wrong,high_confidence_error,0.3437123436905717,1.0,0.694537364409575,0.9250562914312092,True,True,True,False,False,False
bert_high_confidence_error,250,indent,Indent,Indent,Indent the documents.,Indent the paragraphs of a letter.,False,False,True,static_only_correct,high_confidence_error,0.33442736238890514,1.0,0.5732265723397433,0.9157713101295426,True,False,True,False,True,False
bert_high_confidence_error,622,criticism,criticism,criticism,The senator received severe criticism from his opponent.,The politician received a lot of public criticism for his controversial stance on the issue.,False,False,True,all_wrong,high_confidence_error,0.3210198697010913,1.0,0.7332303857544037,0.9023638174417288,True,True,True,False,False,False
bert_borderline_error,97,mate,mate,mates,He's my best mate.,I'm going to the pub with a few mates.,True,True,False,both_primary_wrong,borderline_error,0.0005551196902702227,1.0,0.5255800022236565,0.5807888280503672,True,False,False,True,False,False
bert_borderline_error,487,scraping,scraping,scrapings,All that bowing and scraping did not impress him.,They collected blood scrapings for analysis.,False,True,False,static_only_correct,borderline_error,0.001993042348471308,1.0,0.4997398151985179,0.5833369900891088,True,False,True,False,True,False
bert_borderline_error,28,violate,Violate,violates,Violate the sanctity of the church.,This sentence violates the rules of syntax.,False,True,False,static_only_correct,borderline_error,0.004518597098336463,1.0,0.5433799290038009,0.5858625448389739,True,False,True,False,True,False
bert_borderline_error,549,intellect,intellect,intellects,He has a keen intellect.,Some of the world's leading intellects were meeting there.,False,True,False,static_only_correct,borderline_error,0.0071104120780682845,1.0,0.4399736815289697,0.5884543598187058,True,False,True,False,True,False
bert_borderline_error,270,streak,streak,streak,A streak of wildness.,He has a stubborn streak.,True,False,True,both_primary_wrong,borderline_error,0.00730216857129784,1.0,0.6049526754076406,0.5740417791693396,True,False,False,True,False,False
